Event Name,Event Time,Location,Club,Image URL,Event URL,Description,Host Organizations,First Host Org,Perks,Categories,Start Time,End Time
Table Tennis Ping Pong Practice Meeting,2025-02-22 16:30:00-05:00,MAC Courts in Campus Rec,Table Tennis Club,https://se-images.campuslabs.com/clink/images/85da156f-8cc2-4ae8-8bdf-2534cd920888f1513b4c-5d6d-446f-88bf-fddb4a6f507f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007010,"4 meetings per week of general ping pong practices. All skill levels welcome. The tables will be set up for free play but if there are too many people, a couple of tables will be set as King of the Court or Around the World. Timers would also be set to rotate people in and out so that everyone can play. Paddles/Balls are supplied by the club, but feel free to bring your own equipment! Sometimes, practices will be more competitive and focused on higher levels of play if the level of interest is there. If you have any questions, go on the discord and ask: https://discord.gg/adEQyyaudE",Table Tennis Club,Table Tennis Club,Credit,Sporting/Athletic Program,,2025-02-22 06:00:00
CASB: China Night Audition,2025-02-22 11:00:00-05:00,Union 203-11,Chinese Association at Stony Brook ,https://se-images.campuslabs.com/clink/images/d243c412-800b-413d-a279-c8fbf93fc6c689160f7c-54a7-4ed9-911a-70a94e85c7db.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11061822,"💗 Get ready because ✨China Night ✨will be on Sunday, April 27th from 6-10PM. As a completely student run event, China Night features the talents ❣️of our diverse student body 📍You could be a part of:✮ Singing 🎤✮ Dance 🪩✮ Formal and Lingerie Modeling 💄✮ Acting 🎭✮ Props 🎨",Chinese Association at Stony Brook,Chinese Association at Stony Brook,Credit,N/A,,2025-02-22 06:00:00
Ramen & Lego,2025-02-22 18:00:00-05:00,Union Ballroom,Student Engagement & Activities,https://se-images.campuslabs.com/clink/images/13675ede-09f9-4221-80dd-8285246197bc8d0f6d74-9491-4e41-88ce-7e7de24319e5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11009608,"Join Student Engagement and Activities forRamen & LegoonSaturday 2/22 at Union Ballroom from 6-8 PM!
Come by and enjoy deliciousSlurp Ramen, a friendlyLego competition, chances to winamazing prizes, & much more!
This event is open to all SBU students/guests and is free of charge!
This event is open/first-come, first serve/ticketed/ by RSVP only.
Day of the Event: Upon arriving at the event, staff will ask you for your event pass to scan. This can be found in the CORQ app under the drop-down tab once you sign-in to CORQ using your Stony Brook NetID. This is a contactless check-in system.
For accessibility needs please contact sea_programsandtraditions@stonybrook.edu
***RSVPing does not guarantee admittance if the event is full, it just reminds you of the event***",Student Engagement & Activities,Student Engagement & Activities,"Free Food, Free Stuff, Credit","Arts & Crafts, Movies & Games",,2025-02-22 08:00:00
Wanna Canta 2025,2025-02-22 18:00:00-05:00,Macmahon Student Center: Duncan Sky Room 6th Floor,Philippine United Student Organization,https://se-images.campuslabs.com/clink/images/2a3619f4-7557-4d4a-a957-0f9e5b6da03ab4a017de-5874-441e-be03-9e25fb5beb42.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10864757,"Annual Singing Competition hosted by the Saint Peter’s Affirming Representation of Kababayans at Saint Peter’s Univerisity. PUSO at Stony Brook would be sending one representative to compete at this competition hosted on February 22nd, 2025 at 6:00 pm in the Duncan Family Sky Room of the MacMahon Student Center on Saint Peter’s Univerisity’s campus. PUSO will be competing against 19 other universities around New York and New Jersey.",Philippine United Student Organization,Philippine United Student Organization,Credit,N/A,,2025-02-22 09:00:00
HopperHacks X,2025-02-22 11:00:00-05:00,SAC Ballroom A,Women in Computer Science,https://se-images.campuslabs.com/clink/images/c061fcec-9e93-4c15-987c-93b67bbbaccf4d1c4f00-3115-432e-9263-ebb5e18b4e16.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10388373,"HopperHacksis a day-long, social good-focused hackathon to encourage students to make an impact on relevant issues that are facing societies around the world today, such as mental/physical health, education, and the environment, all by applying their technical skills. This hackathon is hosted by Stony Brook University's ACM-W chapter,Women in Computer Science (WiCS). WiCS's mission as an organization is to bridge the gap between women and men in computer science, and we work to extend that to all minority groups. Spring 2025 will be WiCS's 10th annual hackathon, HopperHacks X!
This year's Hopperhacks is setting sail with a pirate theme! Whether ye be a seasoned coder or a fresh recruit, join our crew and embark on a treasure hunt for the best hacks. It's time to channel your inner pirate and code like a captain! Avast, there'll be plenty of booty and a bounty of fun activities. So, polish your hooks and get ready to hack the high seas!",Women in Computer Science,Women in Computer Science,"Free Food, Free Stuff, Credit","Career/Networking, Movies & Games",,2025-02-22 10:00:00
Ice Hockey: Home Game vs. Drexel,2025-02-22 20:30:00-05:00,The Rinx,Ice Hockey,https://se-images.campuslabs.com/clink/images/daf2ad5b-bd25-4f1d-ae59-872ac57dbd335d28be64-0c78-4c76-96a8-8673c325349d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10607893,The Ice Hockey club will host the Drexel Dragons.,Ice Hockey,Ice Hockey,Credit,Sporting/Athletic Program,,2025-02-22 11:30:00
Fordham Dual,2025-02-23 12:00:00-05:00,Fordham Prep,Wrestling Team,https://se-images.campuslabs.com/clink/images/7c948af5-0ef0-4fb5-90d4-30a8cbf74b1486ea520a-be6a-4205-9003-28e7e3c207c6.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10904051,"Fordham Prep Gym (441 E Fordham Rd, Bronx, NY 10458)",Wrestling Team,Wrestling Team,Credit,N/A,,2025-02-23 02:00:00
Table Tennis Ping Pong Practice Meeting,2025-02-23 13:30:00-05:00,MAC Courts in Campus Rec,Table Tennis Club,https://se-images.campuslabs.com/clink/images/85da156f-8cc2-4ae8-8bdf-2534cd920888f1513b4c-5d6d-446f-88bf-fddb4a6f507f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007011,"4 meetings per week of general ping pong practices. All skill levels welcome. The tables will be set up for free play but if there are too many people, a couple of tables will be set as King of the Court or Around the World. Timers would also be set to rotate people in and out so that everyone can play. Paddles/Balls are supplied by the club, but feel free to bring your own equipment! Sometimes, practices will be more competitive and focused on higher levels of play if the level of interest is there. If you have any questions, go on the discord and ask: https://discord.gg/adEQyyaudE",Table Tennis Club,Table Tennis Club,Credit,Sporting/Athletic Program,,2025-02-23 03:00:00
Resume Building with Google Docs,2025-02-23 15:00:00-05:00,Online,DoIT,https://se-images.campuslabs.com/clink/images/6e4372bb-5dfe-487e-a940-99d5c47e2296092efefd-5311-4265-a765-ad56195bca0a.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11096934,"Register Here!The workshop will cover various aspects of resume building, from formatting and content organization to tailoring resumes for specific job opportunities.In this interactive workshop, participants will gain the essential skills and knowledge needed to teach students how to create an effective and impressive resume using Google Docs.
In the session, you will:Gain the essential skills and knowledge needed to teach students how to create an effective and impressive resume using Google Docs.Register Here!https://stonybrook.zoom.us/j/91072139152?pwd=Z0xuRzNXVmpSRVN3aEVMOFdXUU5sZz09",DoIT,DoIT,Credit,"Professional development/Leadership, Virtual Event, Career/Networking",,2025-02-23 04:00:00
Weekly SBU Kendo Practice,2025-02-23 15:00:00-05:00,Wood Court #3 in Recreation Center,Kendo Club at SBU,https://se-images.campuslabs.com/clink/images/658f9509-7802-447d-a1fe-518d7cd2e659ed42a23c-da0e-416f-b69f-d84844673f2b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007079,"Weekly SBU kendo practice on Wood Court #3.
No experience is needed, everyone is welcome. All equipment will be provided.",Kendo Club at SBU,Kendo Club at SBU,Credit,Sporting/Athletic Program,,2025-02-23 04:30:00
