title,date,location,organizer,link,description
Community Wellness Walk with CPO,"Saturday, February 22 at 1:00PM EST",Union Suite 108,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11084416,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week!
Join us Saturday February 22nd from 1-2pm for one of our weekly wellness walks!
All abilities are invited, no experience necessary, no one gets left behind
Email prevention_outreach@stonybrook.edu for accessibility needs"
Scavenger Hunt,"Saturday, February 22 at 12:00PM EST",SAC Parking lot,Environmental Club,https://stonybrook.campuslabs.com/engage/event/11077705,"Win a prize from the bingo scavenger hunt around campus with environmental-related items to find (e.g., different types of leaves, litter to pick up, signs of wildlife)"
Stony Brook Men's Lacrosse vs. Sacred Heart,"Saturday, February 22 at 12:00PM EST",Kenneth P. LaValle Athletic Stadium,Stony Brook Athletics,https://stonybrook.campuslabs.com/engage/event/10979102,Come check out your Stony Brook Seawolves Men's Lacrosse team take on the Sacred Heart Pioneers! Free admission for all undergraduate students!
Wolfie's Big Band Rehearsal,"Saturday, February 22 at 1:00PM EST",Union L03 (Basement Rehearsal Room),Wolfie’s Big Band,https://stonybrook.campuslabs.com/engage/event/10452164,"Wolfie's Big Band weekly Saturday rehearsal, practicing and working through music for upcoming performances throughout the semester. Anyone is welcome to attend and participate, new members are always welcome! (We recommend members have a basic ability to read music and play an instrument.)General Rehearsal Schedule:1:00 - 1:10 General Announcements and Welcome1:10 - 2:00 Rehearsing Music2:00 - 2:10 Break2:10 - 3:00 Rehearsing Music"
Deer Park Outlet Mall Trip,"Saturday, February 22 at 11:30AM EST",Deer Park Outlet Mall,Recreation and  Wellness,https://stonybrook.campuslabs.com/engage/event/10948278,"Hosted by Recreation and Wellness.
Join us for a trip to the Deer Park Tanger Outlet Mall for weekend shopping on Saturday, Feb 22nd. A ticket to this trip will include round trip busing to the Tanger Outlet Mall, all purchases made at the outlet mall will be at the cost of the individual. The bus will pick up students from Stony Brook at 10:30am and return back to campus around 4:30pm. *All students must travel to the event from campus on the bus.* Tickets for undergraduate students are 5.00 and tickets for graduate students for 10.00
Sign up on the Rec on the Go app.
Any questions or concerns, email BeyondtheBrook@stonybrook.edu. Failure to attend the event after registration may result in suspension from future off campus trips."
Saturday Volleyball Club Practice,"Saturday, February 22 at 3:00PM EST",Campus Recreation Center Wood Courts 2/3,Volleyball Club at SBU,https://stonybrook.campuslabs.com/engage/event/10971382,"Come and play Volleyball with practices hosted by the Volleyball Club at the Campus Recreational Center! Every practice, we will be focusing on different aspects of the game, such as serve receive, attacking, setting, blocking, defense, game play, etc. Experienced players can come to refine their skills and beginner players can learn something new!
For specific information such as what is being taught on a specific day, unexpected cancellations, changes in plans (such as tryouts, clinics, or tournaments happening instead), etc, please follow our instagram @sbuvball or join our groupme chat linked in our instagram’s linktree.
Please show up in athletic attire!"
SBU Men's Soccer Club vs. Stevens,"Saturday, February 22 at 3:00PM EST",South P Soccer Complex,Men's Soccer Club,https://stonybrook.campuslabs.com/engage/event/11032603,SBU Men's Soccer Club vs. Stevens (Home game at 3PM)
Table Tennis Ping Pong Practice Meeting,"Saturday, February 22 at 4:30PM EST",MAC Courts in Campus Rec,Table Tennis Club,https://stonybrook.campuslabs.com/engage/event/11007010,"4 meetings per week of general ping pong practices. All skill levels welcome. The tables will be set up for free play but if there are too many people, a couple of tables will be set as King of the Court or Around the World. Timers would also be set to rotate people in and out so that everyone can play. Paddles/Balls are supplied by the club, but feel free to bring your own equipment! Sometimes, practices will be more competitive and focused on higher levels of play if the level of interest is there. If you have any questions, go on the discord and ask: https://discord.gg/adEQyyaudE"
CASB: China Night Audition,"Saturday, February 22 at 11:00AM EST",Union 203-11,Chinese Association at Stony Brook ,https://stonybrook.campuslabs.com/engage/event/11061822,"💗 Get ready because ✨China Night ✨will be on Sunday, April 27th from 6-10PM. As a completely student run event, China Night features the talents ❣️of our diverse student body 📍You could be a part of:✮ Singing 🎤✮ Dance 🪩✮ Formal and Lingerie Modeling 💄✮ Acting 🎭✮ Props 🎨"
Ramen & Lego,"Saturday, February 22 at 6:00PM EST",Union Ballroom,Student Engagement & Activities,https://stonybrook.campuslabs.com/engage/event/11009608,"Join Student Engagement and Activities for Ramen & Lego on Saturday 2/22 at Union Ballroom from 6-8 PM!
Come by and enjoy delicious Slurp Ramen, a friendly Lego competition, chances to win amazing prizes, & much more!
This event is open to all SBU students/guests and is free of charge!
This event is open/first-come, first serve/ticketed/ by RSVP only.
Day of the Event: Upon arriving at the event, staff will ask you for your event pass to scan. This can be found in the CORQ app under the drop-down tab once you sign-in to CORQ using your Stony Brook NetID. This is a contactless check-in system.
For accessibility needs please contact sea_programsandtraditions@stonybrook.edu
***RSVPing does not guarantee admittance if the event is full, it just reminds you of the event***"
