title,location,image,link,details,hosts,main_host,Perks,categories,start,end
Table Tennis Ping Pong Practice Meeting,MAC Courts in Campus Rec,https://se-images.campuslabs.com/clink/images/85da156f-8cc2-4ae8-8bdf-2534cd920888f1513b4c-5d6d-446f-88bf-fddb4a6f507f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007010,"4 meetings per week of general ping pong practices. All skill levels welcome. The tables will be set up for free play but if there are too many people, a couple of tables will be set as King of the Court or Around the World. Timers would also be set to rotate people in and out so that everyone can play. Paddles/Balls are supplied by the club, but feel free to bring your own equipment! Sometimes, practices will be more competitive and focused on higher levels of play if the level of interest is there. If you have any questions, go on the discord and ask: https: //discord. gg/adEQyyaudE",Table Tennis Club,Table Tennis Club,Credit,Sporting/Athletic Program,1740259800,1740265200
CASB: China Night Audition,Union 203-11,https://se-images.campuslabs.com/clink/images/d243c412-800b-413d-a279-c8fbf93fc6c689160f7c-54a7-4ed9-911a-70a94e85c7db.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11061822,"💗 Get ready because ✨China Night ✨will be on Sunday, April 27th from 6 - 10PM. As a completely student run event, China Night features the talents ❣️of our diverse student body 📍You could be a part of: ✮ Singing 🎤✮ Dance 🪩✮ Formal and Lingerie Modeling 💄✮ Acting 🎭✮ Props 🎨",Chinese Association at Stony Brook,Chinese Association at Stony Brook,Credit,,1740240000,1740265200
Ramen & Lego,Union Ballroom,https://se-images.campuslabs.com/clink/images/13675ede-09f9-4221-80dd-8285246197bc8d0f6d74-9491-4e41-88ce-7e7de24319e5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11009608,"Join Student Engagement and Activities forRamen & LegoonSaturday 2/22 at Union Ballroom from 6 - 8 PM! Come by and enjoy deliciousSlurp Ramen, a friendlyLego competition, chances to winamazing prizes, & much more! This event is open to all SBU students/guests and is free of charge! This event is open/first - come, first serve/ticketed/ by RSVP only. Day of the Event: Upon arriving at the event, staff will ask you for your event pass to scan. This can be found in the CORQ app under the drop - down tab once you sign - in to CORQ using your Stony Brook NetID. This is a contactless check - in system. For accessibility needs please contact sea_programsandtraditions@stonybrook. edu ***RSVPing does not guarantee admittance if the event is full, it just reminds you of the event***",Student Engagement & Activities,Student Engagement & Activities,"Free Food, Free Stuff, Credit","Arts & Crafts, Movies & Games",1740265200,1740272400
Wanna Canta 2025,Macmahon Student Center: Duncan Sky Room 6th Floor,https://se-images.campuslabs.com/clink/images/2a3619f4-7557-4d4a-a957-0f9e5b6da03ab4a017de-5874-441e-be03-9e25fb5beb42.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10864757,"Annual Singing Competition hosted by the Saint Peter’s Affirming Representation of Kababayans at Saint Peter’s Univerisity. PUSO at Stony Brook would be sending one representative to compete at this competition hosted on February 22nd, 2025 at 6: 00 pm in the Duncan Family Sky Room of the MacMahon Student Center on Saint Peter’s Univerisity’s campus. PUSO will be competing against 19 other universities around New York and New Jersey.",Philippine United Student Organization,Philippine United Student Organization,Credit,,1740265200,1740276000
Smash Club Game Night,SAC 306,https://se-images.campuslabs.com/clink/images/a2592836-c2b4-413d-9dca-a83177b4f23e2ade60a5-43da-473e-8d95-9f9499731887.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11096904,Come join the Smash club for a game night!,Smash Bros. at SBU,Smash Bros. at SBU,Credit,,1740265200,1740279600
HopperHacks X,SAC Ballroom A,https://se-images.campuslabs.com/clink/images/c061fcec-9e93-4c15-987c-93b67bbbaccf4d1c4f00-3115-432e-9263-ebb5e18b4e16.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10388373,"HopperHacksis a day - long, social good - focused hackathon to encourage students to make an impact on relevant issues that are facing societies around the world today, such as mental/physical health, education, and the environment, all by applying their technical skills. This hackathon is hosted by Stony Brook University's ACM - W chapter, Women in Computer Science (WiCS). WiCS's mission as an organization is to bridge the gap between women and men in computer science, and we work to extend that to all minority groups. Spring 2025 will be WiCS's 10th annual hackathon, HopperHacks X! This year's Hopperhacks is setting sail with a pirate theme! Whether ye be a seasoned coder or a fresh recruit, join our crew and embark on a treasure hunt for the best hacks. It's time to channel your inner pirate and code like a captain! Avast, there'll be plenty of booty and a bounty of fun activities. So, polish your hooks and get ready to hack the high seas!",Women in Computer Science,Women in Computer Science,"Free Food, Free Stuff, Credit","Career/Networking, Movies & Games",1740240000,1740279600
Ice Hockey: Home Game vs. Drexel,The Rinx,https://se-images.campuslabs.com/clink/images/daf2ad5b-bd25-4f1d-ae59-872ac57dbd335d28be64-0c78-4c76-96a8-8673c325349d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10607893,The Ice Hockey club will host the Drexel Dragons.,Ice Hockey,Ice Hockey,Credit,Sporting/Athletic Program,1740274200,1740285000
Binghamton University Open Fencing Tournament,Binghamton University,https://se-images.campuslabs.com/clink/images/1bdaf965-70a6-4d41-a7f3-15a4ac4289922a3b596a-e168-4ebc-abf0-81d6b90a9ff8.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11065517,The Fencing Club will be heading to Binghamton University to participate in their open fencing tournament. We will be leaving 02/21 and returning 02/23.,Fencing Club,Fencing Club,Credit,Sporting/Athletic Program,1740157200,1740333600
Fordham Dual,Fordham Prep,https://se-images.campuslabs.com/clink/images/7c948af5-0ef0-4fb5-90d4-30a8cbf74b1486ea520a-be6a-4205-9003-28e7e3c207c6.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10904051,"Fordham Prep Gym (441 E Fordham Rd, Bronx, NY 10458)",Wrestling Team,Wrestling Team,Credit,,1740330000,1740337200
Table Tennis Ping Pong Practice Meeting,MAC Courts in Campus Rec,https://se-images.campuslabs.com/clink/images/85da156f-8cc2-4ae8-8bdf-2534cd920888f1513b4c-5d6d-446f-88bf-fddb4a6f507f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007011,"4 meetings per week of general ping pong practices. All skill levels welcome. The tables will be set up for free play but if there are too many people, a couple of tables will be set as King of the Court or Around the World. Timers would also be set to rotate people in and out so that everyone can play. Paddles/Balls are supplied by the club, but feel free to bring your own equipment! Sometimes, practices will be more competitive and focused on higher levels of play if the level of interest is there. If you have any questions, go on the discord and ask: https: //discord. gg/adEQyyaudE",Table Tennis Club,Table Tennis Club,Credit,Sporting/Athletic Program,1740335400,1740340800
